split,label,precision,recall,f1,support
validation,admin,0.34782608695652173,0.8888888888888888,0.5,9
validation,assessment,0.65,0.9285714285714286,0.7647058823529411,14
validation,extenuating_circumstances,0.6666666666666666,0.8571428571428571,0.75,7
validation,feedback,0.6666666666666666,0.4,0.5,5
validation,resources,0.5,0.75,0.6,8
validation,timetabling,0.6923076923076923,0.8181818181818182,0.75,11
test,admin,0.34782608695652173,1.0,0.5161290322580645,8
test,assessment,0.48,0.8571428571428571,0.6153846153846154,14
test,extenuating_circumstances,0.7142857142857143,0.8333333333333334,0.7692307692307693,6
test,feedback,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
test,resources,0.2857142857142857,0.8,0.42105263157894735,5
test,timetabling,0.8571428571428571,0.75,0.8,8
